,0
0,https://ournewenglandlegends.com/podcast-149-the-stone-throwing-devil/
1,https://ournewenglandlegends.com/new-england-legends-extra-seance-at-dungeon-rock/
2,https://ournewenglandlegends.com/podcast-207-from-the-vault-smiths-castle/
3,https://ournewenglandlegends.com/podcast-259-from-the-vault-the-bootlegger-queen-of-vermont/
4,https://ournewenglandlegends.com/podcast-54-new-hampshires-haunted-lake/
5,https://ournewenglandlegends.com/podcast-194-a-haunted-house-in-portsmouth/
6,https://ournewenglandlegends.com/massachusetts-broadcasters-association-presents-new-england-legends-with-sound-bite-2021-award/
7,https://ournewenglandlegends.com/podcast-6-the-devils-footprint/
8,https://ournewenglandlegends.com/podcast-174-the-snowflake-man-of-jericho/
9,https://ournewenglandlegends.com/podcast-138-pausing-the-adventure/
10,https://ournewenglandlegends.com/podcast-4-the-white-lady-of-easton-connecticut/
11,https://ournewenglandlegends.com/podcast-1-dungeon-rock/
12,https://ournewenglandlegends.com/the-mystery-of-glastenbury-mountain-vermont/
13,https://ournewenglandlegends.com/podcast-129-the-vampire-of-cumberland/
14,https://ournewenglandlegends.com/podcast-167-halloween-at-the-lizzie-borden-house/
15,https://ournewenglandlegends.com/new-england-legends-podcast-nominated-for-2019-peoples-choice-podcast-award/
16,https://ournewenglandlegends.com/about-new-england-legends/
17,https://ournewenglandlegends.com/podcast-161-sarah-whitcher-and-the-bear/
18,https://ournewenglandlegends.com/podcast-253-suicide-pond/
19,https://ournewenglandlegends.com/podcast-23-the-weather-prophet-of-beartown-mountain/
20,https://ournewenglandlegends.com/podcast-64-the-spectral-moose-of-lobster-lake/
21,https://ournewenglandlegends.com/podcast-187-a-banned-beard-in-massachusetts/
22,https://ournewenglandlegends.com/podcast-magazine-names-jeff-belanger-and-ray-auger-2-in-top-50-dads-who-podcast/
23,https://ournewenglandlegends.com/podcast-85-the-monster-and-curse-of-saco-river/
24,https://ournewenglandlegends.com/podcast-179-the-derry-fairy/
25,https://ournewenglandlegends.com/podcast-124-bostons-psychic-sleuth/
26,https://ournewenglandlegends.com/podcast-136-goody-hallett-the-witch-of-wellfleet/
27,https://ournewenglandlegends.com/podcast-80-the-wizard-of-warren-new-hampshire/
28,https://ournewenglandlegends.com/podcast-113-a-terrible-mountain/
29,https://ournewenglandlegends.com/podcast-183-the-haunting-of-nordica-auditorium/
30,https://ournewenglandlegends.com/podcast-74-the-haunted-biltmore-hotel/
31,https://ournewenglandlegends.com/belanger-and-auger-speak-at-bostons-fanexpo-2019/
32,https://ournewenglandlegends.com/podcast-159-the-witch-tree/
33,https://ournewenglandlegends.com/podcast-112-xyz-marks-the-spot/
34,https://ournewenglandlegends.com/podcast-273-little-shop-of-ponemah-bog-horrors/
35,https://ournewenglandlegends.com/podcast-237-the-notorious-serial-killer-jolly-jane/
36,https://ournewenglandlegends.com/podcast-191-the-ghost-of-nancy-barton/
37,https://ournewenglandlegends.com/podcast-198-the-ghost-who-built-a-bridge-in-burlington/
38,https://ournewenglandlegends.com/podcast-201-the-day-it-rained-fish-in-olneyville-rhode-island/
39,https://ournewenglandlegends.com/podcast-53-the-black-flash-of-provincetown/
40,https://ournewenglandlegends.com/podcast-155-searching-for-uncle-sam/
41,https://ournewenglandlegends.com/podcast-241-the-case-of-the-haunted-londonderry-farm/
42,https://ournewenglandlegends.com/podcast-101-the-ghost-of-emily/
43,https://ournewenglandlegends.com/popular-new-england-based-podcast-hits-milestone/
44,https://ournewenglandlegends.com/podcast-227-christmas-witch-sheep-of-narragansett/
45,https://ournewenglandlegends.com/podcast-249-holyokes-eyrie-house-ruins/
46,https://ournewenglandlegends.com/podcast-36-ram-tail-factory-officially-haunted/
47,https://ournewenglandlegends.com/podcast-254-hannah-handy-the-hero-of-royalton/
48,https://ournewenglandlegends.com/podcast-55-narragansett-rune-stone/
49,https://ournewenglandlegends.com/podcast-68-laughed-to-death-in-newport/
50,https://ournewenglandlegends.com/podcast-134-committed-at-fairfield-hills-hospital/
51,https://ournewenglandlegends.com/podcast-232-the-tragic-tale-of-the-tarboxer/
52,https://ournewenglandlegends.com/podcast-177-harbor-master-andre-the-seal/
53,https://ournewenglandlegends.com/podcast-170-the-vampires-of-griswold-connecticut/
54,https://ournewenglandlegends.com/podcast-128-the-testament-of-hospital-rock/
55,https://ournewenglandlegends.com/podcast-116-the-robin-hood-of-massachusetts/
56,https://ournewenglandlegends.com/podcast-34-the-witch-of-hampton/
57,https://ournewenglandlegends.com/podcast-94-spider-gates-cemetery/
58,https://ournewenglandlegends.com/new-england-legends-podcast-bonus-jim-harolds-campfire/
59,https://ournewenglandlegends.com/podcast-29-block-islands-burning-ghost-ship/
60,https://ournewenglandlegends.com/podcast-212-the-tapping-ghost-of-brick-kiln-lane/
61,https://ournewenglandlegends.com/podcast-193-a-boston-book-bound-in-human-skin/
62,https://ournewenglandlegends.com/podcast-110-reveres-ghostly-pirate/
63,https://ournewenglandlegends.com/podcast-189-the-slaying-of-old-bet/
64,https://ournewenglandlegends.com/podcast-221-midnight-mary-in-evergreen-cemetery/
65,https://ournewenglandlegends.com/podcast-102-the-jackson-pillar/
66,https://ournewenglandlegends.com/podcast-162-the-bootlegger-queen-of-vermont/
67,https://ournewenglandlegends.com/podcast-257-from-the-vault-the-day-it-rained-fish-in-olneyville-rhode-island/
68,https://ournewenglandlegends.com/podcast-105-the-witches-of-weare/
69,https://ournewenglandlegends.com/podcast-111-pembrokes-murder-pillar/
70,https://ournewenglandlegends.com/podcast-244-the-allagash-ufo-abduction-incident/
71,https://ournewenglandlegends.com/podcast-25-paul-bunyans-controversial-birthplace/
72,https://ournewenglandlegends.com/podcast-150-a-haunted-tower-in-the-woods/
73,https://ournewenglandlegends.com/podcast-46-the-legend-of-the-boston-massacre/
74,https://ournewenglandlegends.com/podcast-106-the-battle-of-the-frogs/
75,https://ournewenglandlegends.com/podcast-2-to-weigh-a-soul/
76,https://ournewenglandlegends.com/podcast-52-new-englands-darkest-day/
77,https://ournewenglandlegends.com/podcast-175-bostons-christmas-tree/
78,https://ournewenglandlegends.com/podcast-215-the-exploding-treasure-rock-of-buckingham-village/
79,https://ournewenglandlegends.com/podcast-133-three-strange-beasts-from-the-woods-of-maine/
80,https://ournewenglandlegends.com/podcast-35-the-ghost-of-elsie/
81,https://ournewenglandlegends.com/podcast-87-the-beadle-family-murders/
82,https://ournewenglandlegends.com/creepy-christmas/
83,https://ournewenglandlegends.com/holiday-extra-podcast-the-mistletoe-bride/
84,https://ournewenglandlegends.com/emmy-nominated-new-england-legends-television-series-explores-witchcraft-in-its-pbs-return/
85,https://ournewenglandlegends.com/podcast-256-from-the-vault-three-strange-beasts-from-the-woods-of-maine/
86,https://ournewenglandlegends.com/podcast-63-halloween-2018-live-special/
87,https://ournewenglandlegends.com/podcast-245-rhode-islands-nuclear-meltdown/
